review_id,product_id,rating,review_text,date
rev_neu_31,PROD_PHONE_378,3,"It is a decent product, but has some limitations.",2026-06-28
rev_pos_1118,PROD_PHONE_157,4,I can't believe how good this is for the price.,2026-06-08
rev_neg_1206,PROD_CLOTH_264,1,The worst packaging I have ever seen. Damaged box.,2026-06-12
rev_pos_802,PROD_BEAUTY_184,4,"No lag, games run super smooth on it.",2026-06-04
rev_pos_474,PROD_BEAUTY_112,5,Very robust and stands up to daily wear and tear.,2026-06-08
rev_neu_535,PROD_CLOTH_389,3,"Not bad, but it lacks some advanced features.",2026-06-28
rev_pos_1036,PROD_CLOTH_169,5,Fast connection and never disconnects.,2026-06-06
rev_neu_523,PROD_PHONE_396,3,"Average battery life, average display.",2026-06-27
rev_neg_121,PROD_BEAUTY_227,2,Late delivery and the package arrived damaged.,2026-06-13
rev_neg_299,PROD_BEAUTY_254,1,This is a scam. It does not work at all.,2026-06-16
rev_neg_1218,PROD_LAPTOP_200,2,The camera quality is awful and blurry.,2026-06-11
rev_neu_985,PROD_BEAUTY_307,3,"Just an average device, nothing to write home about.",2026-06-27
rev_neg_433,PROD_BEAUTY_291,1,Very slow shipping and the item is defect.,2026-06-13
rev_neu_959,PROD_CLOTH_350,3,Average quality for the price. Not bad but not great.,2026-06-27
rev_pos_1563,PROD_LAPTOP_191,5,Perfect fit and very comfortable to wear.,2026-06-01
rev_pos_666,PROD_LAPTOP_173,4,"No delay in shipping, super happy with the delivery.",2026-06-07
rev_neg_76,PROD_PHONE_219,1,"Extremely bad design, hard to hold and uncomfortable.",2026-06-19
rev_neg_693,PROD_PHONE_272,2,The device keeps flickering and lags constantly. Terrible!,2026-06-16
rev_neu_971,PROD_LAPTOP_388,3,"It is a decent product, but has some limitations.",2026-06-27
rev_neg_797,PROD_LAPTOP_233,2,"Cannot recommend this product, it lacks standard features.",2026-06-17
rev_pos_1025,PROD_PHONE_150,5,The customer support staff was very helpful and responsive.,2026-06-04
rev_neg_1111,PROD_CLOTH_274,1,Terrible product! A complete waste of money.,2026-06-18
rev_pos_19,PROD_BEAUTY_174,5,It is an awesome product. I will buy it again.,2026-06-07
rev_pos_1402,PROD_PHONE_111,5,"No quality issues, everything is in perfect condition.",2026-06-03
rev_neg_440,PROD_PHONE_264,1,"Fake item, a complete scam. Do not buy!",2026-06-16
rev_neg_1955,PROD_LAPTOP_253,1,The device keeps flickering and lags constantly. Terrible!,2026-06-10
rev_pos_954,PROD_LAPTOP_195,5,"No defects, clean packaging, and works like a dream.",2026-06-04
rev_neu_181,PROD_CLOTH_323,3,"Average battery life, average display.",2026-06-23
rev_neg_11,PROD_CLOTH_220,1,Never again. This is absolute trash.,2026-06-12
rev_pos_34,PROD_PHONE_131,5,Fast connection and never disconnects.,2026-06-04
rev_neu_419,PROD_PHONE_370,3,"It works, but nothing outstanding.",2026-06-25
rev_neu_977,PROD_PHONE_306,3,"It's decent, fits the description but nothing exciting.",2026-06-21
rev_neg_1132,PROD_CLOTH_239,1,"Extremely bad design, hard to hold and uncomfortable.",2026-06-13
rev_neg_207,PROD_BEAUTY_224,2,The device keeps flickering and lags constantly. Terrible!,2026-06-14
rev_pos_1031,PROD_CLOTH_192,5,"Incredibly fast shipping, arrived much earlier than expected.",2026-06-03
rev_neg_1355,PROD_BEAUTY_267,1,"The sizing is completely wrong, way too small.",2026-06-10
rev_pos_220,PROD_CLOTH_186,5,"Not bad at all, in fact it is an awsm product.",2026-06-05
rev_pos_230,PROD_CLOTH_107,5,"This phone is gr8, battery life is awesome.",2026-06-07
rev_pos_663,PROD_PHONE_199,4,Highly functional and has zero flaws.,2026-06-05
rev_neg_166,PROD_PHONE_240,1,It stopped working after just a few days of light usage.,2026-06-10
rev_pos_1457,PROD_LAPTOP_184,5,"No quality issues, everything is in perfect condition.",2026-06-08
rev_neg_209,PROD_BEAUTY_213,2,Doesn't charge at all. Broken charging port.,2026-06-10
